Ward_Name,Alarm_Type,Count,Ward_Percentage_Count,Alarm_Type_Percentage_Count,Overall_Percentage_Count
Varthuru,LDWL,23,0.5585235551238465,2.2817460317460316,0.015559358954411079
HAL Airport,FCW,671,29.756097560975608,2.6741590945321216,0.45392738514825365
HAL Airport,UFCW,851,37.73835920177383,1.440346631010612,0.5756962813132099
HAL Airport,PCW,125,5.543237250554324,0.7300549001284896,0.08456173344788628
HAL Airport,HMW,565,25.055432372505543,2.2230091281082784,0.38221903518444605
HAL Airport,LDWL,23,1.0199556541019956,2.2817460317460316,0.015559358954411079
HAL Airport,Overspeed,4,0.17738359201773835,0.020784619381657574,0.0027059754703323614
HAL Airport,LDWR,16,0.7095343680709534,1.8713450292397662,0.010823901881329446
Vijnana Nagar,UFCW,250,51.02040816326531,0.423133557876208,0.16912346689577257
Vijnana Nagar,PCW,131,26.73469387755102,0.7650975353346572,0.08862069665338483
