Modal_Price,Price_Date
1080,9/27/2008
1080,9/28/2008
1027,9/29/2008
950,10-01-2008
1045,10-02-2008
1000,10-04-2008
950,10-05-2008
950,10-06-2008
950,10-08-2008
1097,10-10-2008
1117,10-11-2008
950,10-12-2008
1088,10/13/2008
1016,10/14/2008
1064,10/15/2008
1030,10/16/2008
1047,10/17/2008
950,10/18/2008
1000,10/19/2008
950,10/20/2008
950,10/21/2008
1050,10/22/2008
1075,10/23/2008
1102,10/24/2008
1000,10/25/2008
1102,10/31/2008
1000,11-01-2008
1105,11-03-2008
1070,11-04-2008
1110,11-05-2008
1106,11-06-2008
1106,11-07-2008
1106,11-08-2008
1106,11-10-2008
1111,11-11-2008
1123,11-12-2008
1156,11/14/2008
1178,11/15/2008
1156,11/17/2008
1155,11/18/2008
1106,11/20/2008
1110,11/21/2008
1131,11/22/2008
1131,11/24/2008
1123,11/25/2008
1202,11/26/2008
1186,11/28/2008
1155,11/29/2008
1050,12-01-2008
1135,12-02-2008
1138,12-03-2008
1161,12-04-2008
1158,12-05-2008
1162,12-06-2008
1096,12-08-2008
1115,12-10-2008
1115,12-11-2008
1171,12-12-2008
1158,12/13/2008
1126,12/15/2008
1170,12/16/2008
1176,12/17/2008
1181,12/18/2008
1192,12/19/2008
1075,12/20/2008
1050,12/22/2008
1176,12/23/2008
1100,12/25/2008
1170,12/26/2008
1100,12/27/2008
1180,12/29/2008
1150,12/30/2008
1160,12/31/2008
1150,01-01-2009
1215,01-02-2009
1166,01-03-2009
1175,01-05-2009
1181,01-06-2009
1150,01-07-2009
1216,01-09-2009
1206,01-12-2009
1171,1/13/2009
1125,1/16/2009
1180,1/19/2009
1143,1/20/2009
1177,1/21/2009
1191,1/22/2009
1203,1/23/2009
1193,1/24/2009
1136,1/27/2009
1171,1/28/2009
1170,1/29/2009
1100,1/30/2009
1140,1/31/2009
1125,02-02-2009
1231,02-03-2009
1155,02-04-2009
1138,02-05-2009
1170,02-06-2009
1181,02-07-2009
1171,02-09-2009
1171,02-10-2009
1171,2/13/2009
1275,2/14/2009
1195,2/16/2009
1206,2/17/2009
1235,2/18/2009
1140,2/20/2009
1135,2/21/2009
1140,2/23/2009
1185,2/24/2009
1100,2/25/2009
1175,2/28/2009
1221,03-02-2009
1231,03-03-2009
1230,03-04-2009
1097,03-05-2009
1211,03-06-2009
1245,03-07-2009
1105,03-09-2009
1147,03-12-2009
1242,3/13/2009
1227,3/14/2009
1227,3/16/2009
1268,3/17/2009
1152,3/18/2009
1140,3/19/2009
1135,3/20/2009
1132,3/21/2009
1215,3/23/2009
1125,3/24/2009
1149,3/25/2009
1050,3/28/2009
1075,3/30/2009
1100,3/31/2009
1111,04-01-2009
1231,04-02-2009
1100,04-04-2009
1303,04-06-2009
1296,04-08-2009
1306,04-11-2009
1300,4/13/2009
1315,4/15/2009
1425,4/17/2009
1450,4/18/2009
1470,4/20/2009
1196,4/21/2009
1207,4/22/2009
1525,4/23/2009
1346,4/24/2009
1100,4/25/2009
1100,4/27/2009
1356,4/28/2009
1326,4/29/2009
1326,4/30/2009
1301,05-02-2009
1315,05-04-2009
1346,05-05-2009
1291,05-06-2009
1162,05-07-2009
1342,05-11-2009
1324,05-12-2009
1325,5/13/2009
1346,5/14/2009
1160,5/15/2009
1195,5/17/2009
1323,5/18/2009
1316,5/19/2009
1346,5/20/2009
1386,5/21/2009
1357,5/22/2009
1441,5/23/2009
1175,5/24/2009
1353,5/25/2009
1368,5/26/2009
1358,5/27/2009
1368,5/28/2009
1398,5/29/2009
1200,5/30/2009
1130,5/31/2009
1230,06-01-2009
1163,06-02-2009
1358,06-03-2009
1180,06-04-2009
1200,06-05-2009
1180,06-06-2009
1163,06-07-2009
1410,06-08-2009
1175,06-09-2009
1261,06-10-2009
1200,06-11-2009
1420,06-12-2009
1188,6/14/2009
1350,6/15/2009
1190,6/16/2009
1370,6/17/2009
1150,6/18/2009
1350,6/19/2009
1160,6/21/2009
1190,6/22/2009
1165,6/23/2009
1212,6/24/2009
1158,6/25/2009
1247,6/26/2009
1160,6/28/2009
1221,6/29/2009
1170,6/30/2009
1283,07-01-2009
1163,07-05-2009
1344,07-06-2009
1173,07-07-2009
1346,07-08-2009
1173,07-09-2009
1317,07-10-2009
1175,07-12-2009
1521,7/13/2009
1225,7/14/2009
1514,7/15/2009
1225,7/16/2009
1404,7/17/2009
1200,7/19/2009
1400,7/20/2009
1225,7/21/2009
1225,7/22/2009
1235,7/23/2009
1339,7/24/2009
1300,7/25/2009
1225,7/26/2009
1398,7/27/2009
1230,7/28/2009
1312,7/29/2009
1225,7/30/2009
1373,7/31/2009
1250,08-02-2009
1235,08-03-2009
1205,08-04-2009
1225,08-05-2009
1225,08-06-2009
1404,08-07-2009
1300,08-08-2009
1325,08-09-2009
0,08-10-2009
0,08-11-2009
1342,08-12-2009
1300,8/13/2009
1240,8/14/2009
1275,8/16/2009
1403,8/17/2009
1300,8/18/2009
1280,8/19/2009
1295,8/21/2009
1305,8/23/2009
1288,8/24/2009
1300,8/25/2009
1406,8/26/2009
1295,8/27/2009
1335,8/30/2009
1300,09-01-2009
1426,09-02-2009
1303,09-03-2009
1238,09-04-2009
1275,09-06-2009
1384,09-07-2009
1300,09-08-2009
1401,09-09-2009
1319,09-10-2009
1337,09-11-2009
1313,9/13/2009
1225,9/14/2009
1225,9/15/2009
1293,9/16/2009
1300,9/17/2009
1305,9/18/2009
1250,9/19/2009
1263,9/20/2009
1300,9/21/2009
1300,9/22/2009
1388,9/23/2009
1273,9/24/2009
1393,9/25/2009
1200,9/26/2009
1275,9/27/2009
1275,9/29/2009
1353,9/30/2009
1313,10-01-2009
1200,10-03-2009
1288,10-04-2009
1353,10-05-2009
1275,10-06-2009
1374,10-07-2009
1290,10-08-2009
1237,10-09-2009
1275,10-11-2009
1250,10-12-2009
1290,10/14/2009
1300,10/15/2009
1300,10/16/2009
1295,10/18/2009
1325,10/20/2009
1461,10/21/2009
1380,10/22/2009
1377,10/23/2009
1300,10/25/2009
1380,10/26/2009
1300,10/27/2009
1399,10/28/2009
1300,10/29/2009
1487,10/30/2009
1425,11-01-2009
1450,11-03-2009
1517,11-04-2009
1525,11-05-2009
1587,11-06-2009
1475,11-08-2009
1650,11-09-2009
1375,11-10-2009
1630,11-11-2009
1300,11-12-2009
1625,11/13/2009
1400,11/15/2009
1525,11/16/2009
1625,11/17/2009
1480,11/18/2009
1475,11/19/2009
1625,11/20/2009
1400,11/22/2009
1625,11/23/2009
1450,11/24/2009
1625,11/25/2009
1450,11/26/2009
1712,11/27/2009
1450,11/29/2009
1600,11/30/2009
1458,12-01-2009
1490,12-02-2009
1450,12-03-2009
1625,12-04-2009
1400,12-05-2009
1450,12-06-2009
1500,12-07-2009
1350,12-08-2009
1625,12-09-2009
1313,12-10-2009
1638,12-11-2009
1550,12/13/2009
1687,12/14/2009
1300,12/15/2009
1500,12/16/2009
1300,12/17/2009
1750,12/18/2009
1500,12/20/2009
1667,12/21/2009
1575,12/22/2009
1650,12/23/2009
1500,12/27/2009
1350,12/29/2009
1650,12/30/2009
1525,12/31/2009
1600,01-01-2010
1575,01-03-2010
1651,01-04-2010
1600,01-05-2010
1650,01-06-2010
1500,01-07-2010
1628,01-08-2010
1563,01-09-2010
1575,01-10-2010
1496,01-11-2010
1600,01-12-2010
1476,1/13/2010
1653,1/14/2010
1375,1/15/2010
1600,1/17/2010
1455,1/18/2010
1487,1/19/2010
1503,1/20/2010
1510,1/21/2010
1550,1/22/2010
1535,1/23/2010
1600,1/24/2010
1450,1/25/2010
1500,1/27/2010
1525,1/28/2010
1505,1/29/2010
1400,1/30/2010
1550,1/31/2010
1518,02-01-2010
1600,02-02-2010
1525,02-03-2010
1338,02-04-2010
1500,02-05-2010
1387,02-06-2010
1525,02-07-2010
1525,02-08-2010
1400,02-09-2010
1300,02-10-2010
1388,02-11-2010
1395,02-12-2010
1375,2/14/2010
1300,2/15/2010
1400,2/16/2010
1375,2/17/2010
1470,2/18/2010
1300,2/19/2010
1379,2/20/2010
1400,2/21/2010
1450,2/22/2010
1327,2/23/2010
